iter	Passed	Remaining
227	350	1186
228	351	1183
229	352	1180
230	353	1176
231	354	1172
232	355	1170
233	356	1166
234	357	1162
235	358	1159
236	359	1155
237	359	1152
238	360	1148
239	361	1144
240	362	1141
241	363	1137
242	364	1134
243	364	1130
244	365	1127
245	366	1123
246	367	1120
247	368	1117
248	369	1113
249	370	1111
250	371	1108
251	372	1104
252	373	1101
253	373	1098
254	374	1094
255	375	1091
256	376	1087
257	377	1084
258	377	1081
259	378	1078
260	379	1075
261	380	1073
262	381	1070
263	382	1067
264	383	1063
265	384	1062
266	385	1059
267	386	1056
268	387	1053
269	388	1050
270	389	1047
271	390	1044
272	390	1041
273	391	1038
274	392	1035
275	393	1032
276	394	1029
277	395	1026
278	396	1023
279	396	1020
280	397	1017
281	398	1014
282	399	1012
283	400	1009
284	401	1007
285	402	1004
286	403	1001
287	403	998
288	404	995
289	405	993
290	406	990
291	407	987
292	408	985
293	409	983
294	410	980
295	411	977
296	411	975
297	412	972
298	413	969
299	414	967
300	415	965
301	416	962
302	417	960
303	418	957
304	419	954
305	419	952
306	420	949
307	421	947
308	422	945
309	423	942
310	424	940
311	425	937
312	425	934
313	426	932
314	427	929
315	428	927
316	429	925
317	430	923
318	431	921
319	432	918
320	433	916
321	434	913
322	434	911
323	435	909
324	436	907
325	437	905
326	438	903
327	439	900
328	440	898
329	441	896
330	442	893
331	443	891
332	444	889
333	445	888
334	446	885
335	447	883
336	447	881
337	448	878
338	449	876
339	450	874
340	451	871
341	452	869
342	452	867
343	453	865
344	454	863
345	455	861
346	456	858
347	457	856
348	457	854
349	458	852
350	460	850
351	460	848
352	461	846
353	462	844
354	463	841
355	464	839
356	465	838
357	466	836
358	467	834
359	468	832
360	468	829
361	469	827
362	470	826
363	471	823
364	472	821
365	473	819
366	474	818
367	475	816
368	476	814
369	477	812
370	478	810
371	479	808
372	480	806
373	480	804
374	481	802
375	482	800
376	483	798
377	484	796
378	484	794
379	485	792
380	486	790
381	487	788
382	488	786
383	489	785
384	490	783
385	491	781
386	492	779
387	493	777
388	494	776
389	494	774
390	495	772
391	496	770
392	497	768
393	498	766
394	499	764
395	500	762
396	500	760
397	501	758
398	502	756
399	503	754
400	504	754
401	505	752
402	506	750
403	507	748
404	508	746
405	509	744
406	510	743
407	510	741
408	511	739
409	512	737
410	513	735
411	514	733
412	515	732
413	515	730
414	516	728
415	517	726
416	518	724
417	519	723
418	520	721
419	521	719
420	522	717
421	523	716
422	523	714
423	524	713
424	525	711
425	526	709
426	527	707
427	528	705
428	528	704
429	529	702
430	530	700
431	531	698
432	532	697
433	533	695
434	534	694
435	535	692
436	536	690
437	537	689
438	538	687
439	539	686
440	539	684
441	540	682
442	541	680
443	542	679
444	543	677
445	543	675
446	544	673
447	545	672
448	546	670
449	547	669
450	548	667
451	549	666
452	550	664
453	551	662
454	552	661
455	553	659
456	553	658
457	554	656
458	555	654
459	556	653
460	557	651
461	558	649
462	558	648
463	559	646
464	560	644
465	561	643
466	562	641
467	563	640
468	564	639
469	565	637
470	566	636
471	567	634
472	568	632
473	568	631
474	569	629
475	570	628
476	571	626
477	572	624
478	572	623
479	573	621
480	574	620
481	575	618
482	576	617
